symbol,timestamp,tradingDay,open,high,low,close,volume
GOOG,15/05/2020 10:30,15/05/2020,135137,135536,13505,1353,10158
GOOG,15/05/2020 10:35,15/05/2020,135239,1354215,1349752,1350715,8290
GOOG,15/05/2020 10:40,15/05/2020,135086,135541,135009,135411,18708
GOOG,15/05/2020 10:45,15/05/2020,135408,135561,135047,135277,21605
GOOG,15/05/2020 10:50,15/05/2020,135242,1352438,134702,1347985,19248
GOOG,15/05/2020 10:55,15/05/2020,1347835,134892,134707,1348561,12711
GOOG,15/05/2020 11:00,15/05/2020,1348575,1349065,1346195,1347181,15648
GOOG,15/05/2020 11:05,15/05/2020,134705,1350395,134659,134973,8517
GOOG,15/05/2020 11:10,15/05/2020,13505,1351473,134864,135057,5462
GOOG,15/05/2020 11:15,15/05/2020,134958,135114,134833,135114,6473
GOOG,15/05/2020 11:20,15/05/2020,134916,1352,134803,135148,9909
GOOG,15/05/2020 11:25,15/05/2020,135182,135221,135026,135054,6466
GOOG,15/05/2020 11:30,15/05/2020,134963,135277,134871,135223,5024
GOOG,15/05/2020 11:35,15/05/2020,135241,135241,134963,1349964,6392
GOOG,15/05/2020 11:40,15/05/2020,134968,135124,134738,135072,4577
GOOG,15/05/2020 11:45,15/05/2020,135031,13511,134904,134973,8561
GOOG,15/05/2020 11:50,15/05/2020,134978,135193,134901,13516,5638
GOOG,15/05/2020 11:55,15/05/2020,135257,135382,135167,135382,3161
GOOG,15/05/2020 12:00,15/05/2020,1353468,135688,1352754,1356672,8679
GOOG,15/05/2020 12:05,15/05/2020,1356453,135788,135586,135698,7960
GOOG,15/05/2020 12:10,15/05/2020,13572,13579,135684,1357272,4100
GOOG,15/05/2020 12:15,15/05/2020,135727,135824,135617,135824,7893
GOOG,15/05/2020 12:20,15/05/2020,135885,136125,135879,1360981,8680
GOOG,15/05/2020 12:25,15/05/2020,136079,136114,135951,136088,6788
GOOG,15/05/2020 12:30,15/05/2020,13606,136235,13601,136235,10514
GOOG,15/05/2020 12:35,15/05/2020,136203,1363,1361563,1363,10381
GOOG,15/05/2020 12:40,15/05/2020,136324,136608,1362636,13639,14379
GOOG,15/05/2020 12:45,15/05/2020,136386,1364162,13616,136275,13565
GOOG,15/05/2020 12:50,15/05/2020,1363155,136398,136241,13636,4382
GOOG,15/05/2020 12:55,15/05/2020,1363723,136553,1361803,1364847,8960
GOOG,15/05/2020 13:00,15/05/2020,136566,136908,1365255,136855,8687
GOOG,15/05/2020 13:05,15/05/2020,1368325,136904,136677,1368001,5989
GOOG,15/05/2020 13:10,15/05/2020,136845,137273,136836,13718,10216
GOOG,15/05/2020 13:15,15/05/2020,13718,137182,136703,136826,6170
GOOG,15/05/2020 13:20,15/05/2020,1367463,136812,1366131,136794,8285
GOOG,15/05/2020 13:25,15/05/2020,136795,136968,136722,136837,6302
